Id,quote,author,tags
3,"“So many books, so little time.”",Frank Zappa,books
8,"“You only live once, but if you do it right, once is enough.”",Mae West,humor
22,“We accept the love we think we deserve.”,"Stephen Chbosky,",love
26,"“Insanity is doing the same thing, over and over again, but expecting different results.”",Narcotics Anonymous,life
36,“It does not do to dwell on dreams and forget to live.”,"J.K. Rowling,",life
67,“It is never too late to be what you might have been.”,George Eliot,inspirational
68,“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,happiness
76,“There is no greater agony than bearing an untold story inside you.”,"Maya Angelou,",writing
81,“Everything you can imagine is real.”,Pablo Picasso,life
84,“Sometimes the questions are complicated and the answers are simple.”,Dr. Seuss,life
86,“Never trust anyone who has not brought a book with them.”,"Lemony Snicket,",books
94,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,life
111,“Folks are usually about as happy as they make their minds up to be.”,Abraham Lincoln,happiness
112,"“Do what you can, with what you have, where you are.”",Theodore Roosevelt,inspirational
119,"“Love is like the wind, you can't see it but you can feel it.”","Nicholas Sparks,",love
130,“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,humor
138,“Some infinities are bigger than other infinities.”,"John Green,",life
146,“Reality continues to ruin my life.”,"Bill Watterson,",life
172,“I love mankind ... it's people I can't stand!!”,Charles M. Schulz,humor
182,“To die will be an awfully big adventure.”,"J.M. Barrie,",love
191,“Books are a uniquely portable magic.”,"Stephen King,",reading
195,“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
201,“The truth is rarely pure and never simple.”,"Oscar Wilde,",truth
210,“Never tell the truth to people who are not worthy of it.”,Mark Twain,truth
219,“It's the possibility of having a dream come true that makes life interesting.”,"Paulo Coelho,",inspirational
222,“Happiness in intelligent people is the rarest thing I know.”,"Ernest Hemingway,",happiness
223,“A day without laughter is a day wasted.”,Nicolas Chamfort,philosophy
225,"“A person's a person, no matter how small.”","Dr. Seuss,",inspirational
227,“Perhaps one did not want to be loved so much as to be understood.”,"George Orwell,",truth
241,“Be careful about reading health books. Some fine day you'll die of a misprint.”,Markus Herz,humor
282,“One is loved because one is loved. No reason is needed for loving.”,"Paulo Coelho,",love
298,"“If you don't know where you're going, any road'll take you there”",George Harrison,life
302,"“Nothing is impossible, the word itself says 'I'm possible'!”",Audrey Hepburn,inspirational
306,“We love the things we love for what they are.”,Robert Frost,love
310,“I would die for you. But I won't live for you.”,"Stephen Chbosky,",love
320,“Never love anyone who treats you like you're ordinary.”,Oscar Wilde,love
323,"“So, I love you because the entire universe conspired to help me find you.”","Paulo Coelho,",love
329,“Happiness is not something ready made. It comes from your own actions.”,Dalai Lama XIV,happiness
334,"“Hold fast to dreams,For if dreams dieLife is a broken-winged bird,That cannot fly.”",Langston Hughes,wisdom
349,“You talk when you cease to be at peace with your thoughts.”,"Kahlil Gibran,",philosophy
353,"“You are, and always have been, my dream.”","Nicholas Sparks,",love
373,"“Whatever you are, be a good one.”",Abraham Lincoln,inspirational
383,"“Sleep is good, he said, and books are better.”",George R. R. Martin,reading
384,“Where there is love there is life.”,Mahatma Gandhi,love
386,“May you live every day of your life.”,Jonathan Swift,wisdom
387,"“Two wrongs don't make a right, but they make a good excuse.”",Thomas Szasz,inspirational
394,“Who controls the past controls the future. Who controls the present controls the past.”,"George Orwell,",inspirational
397,“Man is the only creature who refuses to be what he is.”,Albert Camus,philosophy
