Id,quote,author,tags
4,“A room without books is like a body without a soul.”,Marcus Tullius Cicero,books
8,"“You only live once, but if you do it right, once is enough.”",Mae West,humor
9,“Be the change that you wish to see in the world.”,Mahatma Gandhi,inspirational
22,“We accept the love we think we deserve.”,"Stephen Chbosky,",inspirational
26,"“Insanity is doing the same thing, over and over again, but expecting different results.”",Narcotics Anonymous,life
36,“It does not do to dwell on dreams and forget to live.”,"J.K. Rowling,",life
44,“Life is what happens to us while we are making other plans.”,Allen Saunders,life
57,"“Love all, trust a few, do wrong to none.”","William Shakespeare,",love
68,“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,happiness
76,“There is no greater agony than bearing an untold story inside you.”,"Maya Angelou,",writing
81,“Everything you can imagine is real.”,Pablo Picasso,inspirational
84,“Sometimes the questions are complicated and the answers are simple.”,Dr. Seuss,life
94,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,life
97,"“To the well-organized mind, death is but the next great adventure.”","J.K. Rowling,",inspirational
106,“Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.”,"Markus Zusak,",life
111,“Folks are usually about as happy as they make their minds up to be.”,Abraham Lincoln,happiness
112,"“Do what you can, with what you have, where you are.”",Theodore Roosevelt,inspirational
127,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,life
130,“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,humor
134,"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,love
146,“Reality continues to ruin my life.”,"Bill Watterson,",life
174,“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,humor
189,"“Itâ€™s no use going back to yesterday, because I was a different person then.”",Lewis Carroll,humor
191,“Books are a uniquely portable magic.”,"Stephen King,",books
195,“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
201,“The truth is rarely pure and never simple.”,"Oscar Wilde,",truth
210,“Never tell the truth to people who are not worthy of it.”,Mark Twain,truth
213,“Tis better to have loved and lostThan never to have loved at all.”,"Alfred Lord Tennyson,",love
219,“It's the possibility of having a dream come true that makes life interesting.”,"Paulo Coelho,",inspirational
222,“Happiness in intelligent people is the rarest thing I know.”,"Ernest Hemingway,",happiness
225,"“A person's a person, no matter how small.”","Dr. Seuss,",inspirational
227,“Perhaps one did not want to be loved so much as to be understood.”,"George Orwell,",truth
241,“Be careful about reading health books. Some fine day you'll die of a misprint.”,Markus Herz,humor
276,“Well-behaved women seldom make history.”,"Laurel Thatcher Ulrich,",inspirational
282,“One is loved because one is loved. No reason is needed for loving.”,"Paulo Coelho,",love
298,"“If you don't know where you're going, any road'll take you there”",George Harrison,life
302,"“Nothing is impossible, the word itself says 'I'm possible'!”",Audrey Hepburn,inspirational
306,“We love the things we love for what they are.”,Robert Frost,love
310,“I would die for you. But I won't live for you.”,"Stephen Chbosky,",love
316,"“This lifeâ€™s hard, but itâ€™s harder if youâ€™re stupid.”","George V. Higgins,",life
323,"“So, I love you because the entire universe conspired to help me find you.”","Paulo Coelho,",love
329,“Happiness is not something ready made. It comes from your own actions.”,Dalai Lama XIV,inspirational
330,"“Count your age by friends, not years. Count your life by smiles, not tears.”",John Lennon,happiness
353,"“You are, and always have been, my dream.”","Nicholas Sparks,",love
362,“I would always rather be happy than dignified.”,"Charlotte BrontÃ«,",love
373,"“Whatever you are, be a good one.”",Abraham Lincoln,inspirational
384,“Where there is love there is life.”,Mahatma Gandhi,life
386,“May you live every day of your life.”,Jonathan Swift,inspirational
387,"“Two wrongs don't make a right, but they make a good excuse.”",Thomas Szasz,humor
394,“Who controls the past controls the future. Who controls the present controls the past.”,"George Orwell,",inspirational
402,"“We write to taste life twice, in the moment and in retrospect.”",Anais Nin,writing
413,"“Nobody has ever measured, not even poets, how much the heart can hold.”",Zelda Fitzgerald,love
423,“Get busy living or get busy dying.”,"Stephen King,",life
523,“I have decided to stick to love...Hate is too great a burden to bear.”,"Martin Luther King Jr.,",love
525,“Always do what you are afraid to do.”,Ralph Waldo Emerson,inspirational
533,“In a time of deceit telling the truth is a revolutionary act.”,George Orwell,truth
534,“Our lives begin to end the day we become silent about things that matter.”,"Martin Luther King Jr.,",inspirational
547,“The flower that blooms in adversity is the rarest and most beautiful of all.”,"Walt Disney Company,",life
570,“Fantasy is hardly an escape from reality. It's a way of understanding it.”,Lloyd Alexander,inspirational
572,"“Two people in love, alone, isolated from the world, that's beautiful.”",Milan Kundera,love
579,“Where is human nature so weak as in the bookstore?”,Henry Ward Beecherr,books
592,“Hell is empty and all the devils are here.”,"William Shakespeare,",inspirational
604,“The most important thing is to enjoy your lifeâ€”to be happyâ€”it's all that matters.”,Audrey Hepburn,happiness
628,"“Love is so short, forgetting is so long.”","Pablo Neruda,",love
633,"“Take responsibility of your own happiness, never put it in other peopleâ€™s hands.”","Roy T. Bennett,",inspirational
638,“Good books don't give up all their secrets at once.”,Stephen King,books
652,"“If you remember me, then I don't care if everyone else forgets.”","Haruki Murakami,",inspirational
661,“Books may well be the only true magic.”,Alice Hoffman,books
669,“Nobody realizes that some people expend tremendous energy merely to be normal.”,Albert Camus,life
686,“Be mindful. Be grateful. Be positive. Be true. Be kind.”,"Roy T. Bennett,",truth
701,“That's the thing about books. They let you travel without moving your feet.”,"Jhumpa Lahiri,",books
711,“You must stay drunk on writing so reality cannot destroy you.”,"Ray Bradbury,",writing
717,“I have great faith in fools - self-confidence my friends will call it.”,"Edgar Allan Poe,",humor
738,"“Man may have discovered fire, but women discovered how to play with it.”","Candace Bushnell,",love
744,"“If you have a garden and a library, you have everything you need.”",Cicero,books
761,"“I think God, in creating man, somewhat overestimated his ability.”",Oscar Wilde,humor
796,“My tastes are simple: I am easily satisfied with the best.”,Winston S. Churchill,humor
812,"“She is too fond of books, and it has turned her brain.”","Louisa May Alcott,",books
815,“No medicine cures what happiness cannot.”,Gabriel GarcÃ­a MÃ¡rquez,happiness
820,“Fiction is the truth inside the lie.”,Stephen King,writing
830,“The road to hell is paved with adverbs.”,"Stephen King,",writing
847,“Life's under no obligation to give us what we expect.”,Margaret Mitchell,life
850,"“Happiness is having a large, loving, caring, close-knit family in another city.”",George Burns,happiness
874,“The truth does not change according to our ability to stomach it.”,Flannery O'Connor,truth
893,“There is nothing in the world so irresistibly contagious as laughter and good humor.”,"Charles Dickens,",humor
894,“None but ourselves can free our minds.”,Bob Marley,inspirational
937,"“Do what is right, not what is easy nor what is popular.”","Roy T. Bennett,",inspirational
957,"“People say nothing is impossible, but I do nothing every day.”","A.A. Milne,",inspirational
982,"“Rather than love, than money, than fame, give me truth.”","Henry David Thoreau,",truth
995,“Art is the lie that enables us to realize the truth.”,Pablo Picasso,truth
1005,“The only way to find true happiness is to risk being completely cut open.”,"Chuck Palahniuk,",happiness
1027,"“True love is rare, and it's the only thing that gives life real meaning.”","Nicholas Sparks,",love
1036,“The scariest moment is always just before you start.”,"Stephen King,",writing
1078,"“If writers wrote as carelessly as some people talk, then adhasdh asdglaseuyt[bn[ pasdlgkhasdfasdf.”","Lemony Snicket,",humor
1079,“You never fail until you stop trying.”,Albert Einstein,inspirational
1093,“All the darkness in the world cannot extinguish the light of a single candle.”,"St. Francis Of Assisi,",inspirational
1097,“Writing is a socially acceptable form of schizophrenia.”,E.L. Doctorow,writing
1100,“Love is an irresistible desire to be irresistibly desired.”,Robert Frost,love
1111,“There is no real ending. Itâ€™s just the place where you stop the story.”,Frank Herbert,writing
1118,"“HopeSmiles from the threshold of the year to come, Whispering 'it will be happier'...”",Alfred Lord Tennyson,inspirational
1120,"“If I can stop one heart from breaking, I shall not live in vain.”",Emily Dickinson,life
1122,"“What would men be without women? Scarce, sir...mighty scarce.”",Mark Twain,humor
1140,"“Basically, I have two speeds.... Hostile or smart-aleck. Your choice.”","James Patterson,",humor
1162,"“Life is to be enjoyed, not endured”",Gordon B. Hinckley,life
1173,"“You can't be happy unless you're unhappy sometimes"".”","Lauren Oliver,",happiness
1188,“I lived in books more than I lived anywhere else.”,"Neil Gaiman,",books
1198,“Sanity and happiness are an impossible combination.”,Mark Twain,happiness
1231,“This is your life and its ending one moment at a time.”,"Chuck Palahniuk,",life
1258,"“The greater the love, the greater the tragedy when it's over.”","Nicholas Sparks,",love
1282,“Do your thing and don't care if they like it.”,"Tina Fey,",humor
1290,“A book must be the axe for the frozen sea within us.”,Franz Kafka,books
1308,“Have enough courage to trust love one more time and always one more time.”,Maya Angelou,love
1309,“I wantTo do with you what spring does with the cherry trees.”,"Pablo Neruda,",love
1311,“You is kind. You is smart. You is important.”,"Kathryn Stockett,",inspirational
1316,"“If you are irritated by every rub, how will your mirror be polished?”",Rumi,inspirational
1338,“The first draft of anything is shit.”,Ernest Hemingway,writing
1351,“Time is a drug. Too much of it kills you.”,"Terry Pratchett,",humor
1354,"“If a book about failures doesn't sell, is it a success?”",Jerry Seinfeld,books
1356,"“You were born with wings, why prefer to crawl through life?”",Rumi,inspirational
1364,“Life shrinks or expands in proportion to one's courage.”,Anais Nin,life
1371,“Even death has a heart.”,"Markus Zusak,",life
1380,“Gravitation is not responsible for people falling in love.”,Albert Einstein,love
1385,“Say 'provoking' again. Your mouth looks provocative when you do.”,"Becca Fitzpatrick,",humor
1403,"“People say that life is the thing, but I prefer reading.”",Logan Pearsall Smith,life
1428,“The best books... are those that tell you what you know already.”,"George Orwell,",books
1478,"“I wasn't actually in love, but I felt a sort of tender curiosity.”","F. Scott Fitzgerald,",love
1483,"“â€ŽLife is a shipwreck, but we must not forget to sing in the lifeboats.”",Voltaire,inspirational
1488,“That it will never come again is what makes life so sweet.”,Emily Dickinson,life
1504,“The past has no power over the present moment.”,Eckhart Tolle,life
1554,"“She read books as one would breathe air, to fill up and live.”","Annie Dillard,",books
1570,“I cannot sleep unless I am surrounded by books.”,Jorge Luis Borges,books
1623,“The capacity for friendship is God's way of apologizing for our families.”,"Jay McInerney,",humor
