Unnamed: 0,quote,author,tags
8,"“You only live once, but if you do it right, once is enough.”",Mae West,life
22,“We accept the love we think we deserve.”,"Stephen Chbosky,",love
26,"“Insanity is doing the same thing, over and over again, but expecting different results.”",Narcotics Anonymous,humor
57,"“Love all, trust a few, do wrong to none.”","William Shakespeare,",love
67,“It is never too late to be what you might have been.”,George Eliot,inspirational
81,“Everything you can imagine is real.”,Pablo Picasso,life
84,“Sometimes the questions are complicated and the answers are simple.”,Dr. Seuss,life
86,“Never trust anyone who has not brought a book with them.”,"Lemony Snicket,",books
94,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,life
106,“Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.”,"Markus Zusak,",life
112,"“Do what you can, with what you have, where you are.”",Theodore Roosevelt,inspirational
113,“There is no friend as loyal as a book.”,Ernest Hemingway,books
130,“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,humor
134,"“If you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,love
138,“Some infinities are bigger than other infinities.”,"John Green,",life
146,“Reality continues to ruin my life.”,"Bill Watterson,",life
147,“Things change. And friends leave. Life doesn't stop for anybody.”,"Stephen Chbosky,",life
171,“â€²Classicâ€² - a book which people praise and don't read.”,Mark Twain,books
189,"“Itâ€™s no use going back to yesterday, because I was a different person then.”",Lewis Carroll,humor
191,“Books are a uniquely portable magic.”,"Stephen King,",books
195,“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,life
213,“Tis better to have loved and lostThan never to have loved at all.”,"Alfred Lord Tennyson,",love
219,“It's the possibility of having a dream come true that makes life interesting.”,"Paulo Coelho,",inspirational
225,"“A person's a person, no matter how small.”","Dr. Seuss,",inspirational
282,“One is loved because one is loved. No reason is needed for loving.”,"Paulo Coelho,",love
289,"“So we beat on, boats against the current, borne back ceaselessly into the past.”","F. Scott Fitzgerald,",inspirational
302,"“Nothing is impossible, the word itself says 'I'm possible'!”",Audrey Hepburn,inspirational
306,“We love the things we love for what they are.”,Robert Frost,love
310,“I would die for you. But I won't live for you.”,"Stephen Chbosky,",love
320,“Never love anyone who treats you like you're ordinary.”,Oscar Wilde,love
323,"“So, I love you because the entire universe conspired to help me find you.”","Paulo Coelho,",love
353,"“You are, and always have been, my dream.”","Nicholas Sparks,",love
373,"“Whatever you are, be a good one.”",Abraham Lincoln,inspirational
380,“There's a fine line between genius and insanity. I have erased this line.”,Oscar Levant,humor
383,"“Sleep is good, he said, and books are better.”",George R. R. Martin,books
384,“Where there is love there is life.”,Mahatma Gandhi,love
387,"“Two wrongs don't make a right, but they make a good excuse.”",Thomas Szasz,inspirational
394,“Who controls the past controls the future. Who controls the present controls the past.”,"George Orwell,",inspirational
413,"“Nobody has ever measured, not even poets, how much the heart can hold.”",Zelda Fitzgerald,love
423,“Get busy living or get busy dying.”,"Stephen King,",life
507,“Life can only be understood backwards; but it must be lived forwards.”,SÃ¸ren Kierkegaard,life
523,“I have decided to stick to love...Hate is too great a burden to bear.”,"Martin Luther King Jr.,",love
525,“Always do what you are afraid to do.”,Ralph Waldo Emerson,inspirational
534,“Our lives begin to end the day we become silent about things that matter.”,"Martin Luther King Jr.,",inspirational
547,“The flower that blooms in adversity is the rarest and most beautiful of all.”,"Walt Disney Company,",life
572,"“Two people in love, alone, isolated from the world, that's beautiful.”",Milan Kundera,love
579,“Where is human nature so weak as in the bookstore?”,Henry Ward Beecherr,humor
583,“Think before you speak. Read before you think.”,"Fran Lebowitz,",books
592,“Hell is empty and all the devils are here.”,"William Shakespeare,",inspirational
604,“The most important thing is to enjoy your lifeâ€”to be happyâ€”it's all that matters.”,Audrey Hepburn,life
615,“Never let your sense of morals prevent you from doing what is right.”,"Isaac Asimov,",humor
624,“I generally avoid temptation unless I can't resist it.”,Mae West,humor
628,"“Love is so short, forgetting is so long.”","Pablo Neruda,",love
629,“Books are mirrors: you only see in them what you already have inside you.”,"Carlos Ruiz ZafÃ³n,",books
638,“Good books don't give up all their secrets at once.”,Stephen King,books
652,"“If you remember me, then I don't care if everyone else forgets.”","Haruki Murakami,",inspirational
661,“Books may well be the only true magic.”,Alice Hoffman,books
701,“That's the thing about books. They let you travel without moving your feet.”,"Jhumpa Lahiri,",books
717,“I have great faith in fools - self-confidence my friends will call it.”,"Edgar Allan Poe,",humor
744,"“If you have a garden and a library, you have everything you need.”",Cicero,books
753,“Time flies like an arrow; fruit flies like a banana.”,Anthony G. Oettinger,humor
761,"“I think God, in creating man, somewhat overestimated his ability.”",Oscar Wilde,humor
774,“Deadlines just aren't real to me until I'm staring one in the face.”,"Rick Riordan,",humor
791,"“It was love at first sight, at last sight, at ever and ever sight.”","Vladimir Nabokov,",love
796,“My tastes are simple: I am easily satisfied with the best.”,Winston S. Churchill,humor
812,"“She is too fond of books, and it has turned her brain.”","Louisa May Alcott,",books
850,"“Happiness is having a large, loving, caring, close-knit family in another city.”",George Burns,humor
893,“There is nothing in the world so irresistibly contagious as laughter and good humor.”,"Charles Dickens,",humor
957,"“People say nothing is impossible, but I do nothing every day.”","A.A. Milne,",humor
984,“We live for books.”,Umberto Eco,books
1004,“Only a true best friend can protect you from your immortal enemies.”,"Richelle Mead,",humor
1019,“Declarations of love amuse me. Especially when unrequited.”,"Cassandra Clare,",love
1039,"“Do you think I'm pretty?I think you're beautifulBeautiful?You are so beautiful, it hurts sometimes.”","Richelle Mead,",love
1078,"“If writers wrote as carelessly as some people talk, then adhasdh asdglaseuyt[bn[ pasdlgkhasdfasdf.”","Lemony Snicket,",humor
1079,“You never fail until you stop trying.”,Albert Einstein,inspirational
1093,“All the darkness in the world cannot extinguish the light of a single candle.”,"St. Francis Of Assisi,",inspirational
1100,“Love is an irresistible desire to be irresistibly desired.”,Robert Frost,love
1120,"“If I can stop one heart from breaking, I shall not live in vain.”",Emily Dickinson,love
1140,"“Basically, I have two speeds.... Hostile or smart-aleck. Your choice.”","James Patterson,",humor
